# ________________________________________________________________________________________________
#|  x  || f(x) |        f'(x)       |        f'(x)      ||        f''(x)      |       f''(x)      |
#|     ||      | analytical formula | finite difference || analytical formula | finite difference |
#|_____||______|____________________|___________________||____________________|___________________|
  -6.10   0.99          -0.09                -0.09                -0.49               -0.48
  -5.80   0.94          -0.23                -0.23                -0.44               -0.43
  -5.50   0.85          -0.35                -0.35                -0.35               -0.34
  -5.20   0.73          -0.44                -0.44                -0.23               -0.23
  -4.90   0.59          -0.49                -0.48                -0.09               -0.09
  -4.60   0.44          -0.50                -0.49                 0.06                0.05
  -4.30   0.30          -0.46                -0.45                 0.20                0.19
  -4.00   0.17          -0.38                -0.37                 0.33                0.32
  -3.70   0.08          -0.26                -0.26                 0.42                0.41
  -3.40   0.02          -0.13                -0.13                 0.48                0.47
  -3.10   0.00           0.02                 0.02                 0.50                0.48
  -2.80   0.03           0.17                 0.16                 0.47                0.46
  -2.50   0.10           0.30                 0.29                 0.40                0.39
  -2.20   0.21           0.40                 0.40                 0.29                0.29
  -1.90   0.34           0.47                 0.47                 0.16                0.16
  -1.60   0.49           0.50                 0.49                 0.01                0.01
  -1.30   0.63           0.48                 0.47                -0.13               -0.13
  -1.00   0.77           0.42                 0.41                -0.27               -0.26
  -0.70   0.88           0.32                 0.32                -0.38               -0.37
  -0.40   0.96           0.19                 0.19                -0.46               -0.45
  -0.10   1.00           0.05                 0.05                -0.50               -0.48
   0.20   0.99          -0.10                -0.10                -0.49               -0.48
   0.50   0.94          -0.24                -0.24                -0.44               -0.43
   0.80   0.85          -0.36                -0.35                -0.35               -0.34
   1.10   0.73          -0.45                -0.44                -0.23               -0.22
   1.40   0.58          -0.49                -0.49                -0.08               -0.08
   1.70   0.44          -0.50                -0.49                 0.06                0.06
   2.00   0.29          -0.45                -0.45                 0.21                0.20
   2.30   0.17          -0.37                -0.37                 0.33                0.32
   2.60   0.07          -0.26                -0.25                 0.43                0.42
   2.90   0.01          -0.12                -0.12                 0.49                0.47
   3.20   0.00           0.03                 0.03                 0.50                0.48
   3.50   0.03           0.18                 0.17                 0.47                0.45
   3.80   0.10           0.31                 0.30                 0.40                0.38
   4.10   0.21           0.41                 0.40                 0.29                0.28
   4.40   0.35           0.48                 0.47                 0.15                0.15
   4.70   0.49           0.50                 0.49                 0.01                0.01
   5.00   0.64           0.48                 0.47                -0.14               -0.14
   5.30   0.78           0.42                 0.41                -0.28               -0.27
   5.60   0.89           0.32                 0.31                -0.39               -0.38
   5.90   0.96           0.19                 0.18                -0.46               -0.45
   6.20   1.00           0.04                 0.04                -0.50               -0.48
   6.50   0.99          -0.11                -0.11                -0.49               -0.47
   6.80   0.93          -0.25                -0.24                -0.43               -0.42
   7.10   0.84          -0.36                -0.36                -0.34               -0.33
   7.40   0.72          -0.45                -0.44                -0.22               -0.21
